unnorm top 10 words
liquid, prime, eloquence, praise, my, love's, proving, with, highmost, age, 
bosom, compare, imprisoned, mistress, kind-hearted, self-love, got, thank, what's, bred, 
doubt, level, self-killed, sap, well-seeing, puts, going, didst, call, storm-beaten, 
debateth, 'will', begins, respose, toil, remote, teach, form, root, flatterer, 
temptation, buds, little, hems, certain, best', question, convertest, waiting, trouble, 
suns, swart-complexioned, herd, pierced, women's, heart's, adonis, fell, outright, sheaves, 
serving, records, shoot, new-appearing, unkind, checked, theft, wrinkle, trust, authorizing, 
weep, swift-footed, visage, lived, sky, print, grew, creature, breathes, tickled, 
resty, control, legacy, commanded, naked, glutton, ruinate, hours, rain, debate, 
grieved, stage, key, cured, universe, tires, herald, wakened, faults, crests, 
stone, truly, frailties, on, delights, feature, leads, impeached, general, strive, 
high, describe, usest, issueless, widow's, bett'ring, foot, helen's, why, bare, 
situation, wear, unfair, lives, once, says, burn, winds, graven, vaunt, 
pricked, slanderers, becomes, office, one, laws, league, 'thou, enjoy, adder's, 
dreading, hied, usurer, ever, bad, terms, deaths, abhor, perfect'st, neck, 
accumulate, eclipses, wilful-slow, writ, wand'rest, noted, proof, chopt, everywhere, pointing, 
heir, noon, deceived, go, father, badness, divided, life's, inward, flame, 
re-survey, torment, alchemy, youth's, faces, rhyme, triumphant, travel's, throw, unworthiness, 
change, gems, blanks, vexed, drudge, banquet, elder, raiment, heinous, growing, 
divining, tribes, praising, largess, beseem, those, rising, refusest, elsewhere, april's, 
continual, ah, oppressed, pearl, lion's, herself, worthiness, lovely, liker, devouring, 
feil, follows, assured, impanelled, boat, either, winters, forty, mayst, foolish, 
wail, picture's, subjects, manners, pride, matcheth, reserve, public, owes, fine, 
rosy, deserve, princes', short-numbered, run'st, means, worse, pity, moiety, fool, 
keen, vassal, break, pilgrimage, solemn, died, forlorn, trenches, crooked, plants, 
self-willed, flowers, times, hang, suff'ring, freedom, lilies, o'ercharged, fair, frame, 
spend, plight, mute, shape, report, welcome, increase, gust, thinking, toiled, 
maiden, yours, buy, heals, blunting, acquaintance, fortify, sick, line, hideous, 
white, pictured, outstripped, wretch, long, oft, untold, dearths, yore, whole, 
show, sit, guard, needs, base, falsehood, ye, memory, evil, replete, 
half, near, chance, stand, tall, breath, sees, saw, tombs, belied, 
acquainted, dancing, lifts, tend, dreams, persuade, forgot, debarred, herein, shop, 


pos for top 10 words
Noun, Verb, Verb, Noun, Verb, Adjective, Verb, Adjective, Verb, Adjective, 
Noun, Adjective, Verb, Verb, Verb, Noun, Verb, Noun, Noun, Verb, 
Noun, Verb, Adjective, Noun, Noun, Adjective, Noun, Adjective, Noun, Adjective, 
Noun, Noun, Adjective, Adjective, Verb, Noun, Noun, Verb, Verb, Noun, 
Noun, Noun, Noun, Noun, Noun, Noun, Adjective, Adjective, Noun, Noun, 
Connector, Noun, Verb, Verb, Verb, Verb, Verb, Adjective, Noun, Verb, 
Verb, Noun, Noun, Adjective, Verb, Verb, Noun, Verb, Adverb, Verb, 
Noun, Adjective, Noun, Noun, Verb, Noun, Adjective, Noun, Noun, Verb, 
Verb, Verb, Noun, Verb, Noun, Noun, Noun, Verb, Noun, Noun, 
Preposition, Verb, Noun, Noun, Noun, Noun, Noun, Verb, Noun, Verb, 
Noun, Adjective, Noun, Noun, Verb, Noun, Verb, Noun, Noun, Verb, 
Adjective, Noun, Adjective, Noun, Verb, Verb, Noun, Noun, Noun, Adjective, 
Noun, Verb, Adjective, Noun, Noun, Verb, Noun, Verb, Noun, Preposition, 
Adjective, Noun, Noun, Adjective, Noun, Adjective, Noun, Noun, Verb, Noun, 
Noun, Verb, Noun, Verb, Verb, Noun, Verb, Verb, Noun, Adjective, 
Preposition, Noun, Verb, Noun, Verb, Noun, Adjective, Preposition, Verb, Verb, 
Noun, Noun, Noun, Adjective, Noun, Adverb, Noun, Noun, Noun, Adjective, 
Verb, Noun, Noun, Noun, Verb, Verb, Verb, Verb, Verb, Noun, 
Noun, Pronoun, Noun, Noun, Verb, Verb, Noun, Noun, Verb, Noun, 
Noun, Noun, Verb, Noun, Verb, Noun, Verb, Verb, Noun, Verb, 
Noun, Noun, Verb, Noun, Verb, Verb, Verb, Noun, Verb, Adjective, 
Noun, Connector, Verb, Noun, Noun, Verb, Verb, Noun, Noun, Verb, 
Verb, Noun, Adjective, Noun, Adjective, Adjective, Noun, Noun, Verb, Noun, 
Noun, Adjective, Noun, Verb, Noun, Noun, Noun, Verb, Adjective, Noun, 
Verb, Noun, Noun, Verb, Adjective, Verb, Noun, Adjective, Noun, Verb, 
Noun, Verb, Noun, Verb, Noun, Noun, Verb, Noun, Noun, Adjective, 
Noun, Noun, Noun, Verb, Verb, Noun, Verb, Noun, Noun, Noun, 
Verb, Noun, Noun, Verb, Noun, Noun, Noun, Adjective, Noun, Noun, 
Noun, Adverb, Noun, Preposition, Noun, Noun, Verb, Adjective, Adjective, Adjective, 
Adjective, Noun, Noun, Noun, Noun, Noun, Noun, Noun, Wh-adverb, Noun, 
Noun, Verb, Adjective, Verb, Adverb, Verb, Noun, Noun, Noun, Noun, 
Verb, Noun, Verb, Noun, Cardinal, Noun, Noun, Adjective, Adverb, Noun, 
Verb, Verb, Noun, Adverb, Adjective, Noun, Noun, Verb, Noun, Adverb, 
Noun, Noun, Verb, Verb, Adjective, Verb, Noun, Verb, Adverb, Verb, 
Noun, Noun, Verb, Verb, Noun, Noun, Verb, Adjective, Noun, Noun, 
Noun, Adjective, Noun, Noun, Verb, Noun, Noun, Noun, Verb, Noun, 
Verb, Noun, Noun, Adjective, Noun, Noun, Adjective, Noun, Adjective, Verb, 
Adjective, Noun, Verb, Noun, Preposition, Determiner, Verb, Noun, Adverb, Noun, 
Adjective, Noun, Verb, Adjective, Noun, Pronoun, Adjective, Adjective, Adjective, Verb, 
Adjective, Verb, Verb, Verb, Noun, Conjunction, Noun, Noun, Noun, Adjective, 
Adjective, Noun, Noun, Noun, Noun, Noun, Verb, Adjective, Verb, Adjective, 
Adjective, Verb, Noun, Adjective, Adjective, Verb, Adjective, Noun, Noun, Noun, 
Adjective, Verb, Verb, Noun, Adjective, Verb, Adjective, Noun, Verb, Noun, 
Verb, Noun, Noun, Verb, Verb, Noun, Noun, Verb, Noun, Noun, 
Verb, Noun, Adjective, Noun, Noun, Adjective, Noun, Noun, Verb, Verb, 
Adjective, Noun, Noun, Verb, Verb, Noun, Verb, Verb, Noun, Adjective, 
Adjective, Verb, Verb, Verb, Adverb, Adjective, Adjective, Noun, Noun, Noun, 
Verb, Verb, Noun, Noun, Verb, Verb, Noun, Noun, Noun, Adjective, 
Determiner, Preposition, Noun, Verb, Adjective, Noun, Verb, Verb, Noun, Verb, 
Verb, Verb, Noun, Verb, Noun, Verb, Verb, Verb, Noun, Noun, 



number of syllable top 10 words

2, 1, 2, 1, 3, 1, 3, 2, 1, 2, 
1, 2, 1, 2, 3, 2, 1, 2, 1, 2, 
2, 2, 2, 1, 2, 1, 1, 4, 4, 1, 
3, 3, 1, 2, 2, 1, 1, 1, 2, 1, 
2, 1, 2, 1, 2, 4, 5, 4, 2, 2, 
1, 2, 2, 3, 2, 1, 1, 3, 2, 1, 
2, 1, 1, 2, 1, 2, 1, 1, 3, 2, 
3, 2, 2, 2, 2, 1, 2, 1, 3, 2, 
2, 2, 3, 1, 1, 2, 2, 1, 1, 1, 
2, 1, 2, 1, 2, 2, 1, 1, 2, 1, 
2, 2, 2, 1, 1, 2, 1, 1, 2, 1, 
1, 1, 3, 2, 1, 1, 2, 3, 2, 3, 
3, 3, 2, 2, 2, 1, 1, 3, 3, 2, 
1, 2, 1, 3, 1, 2, 1, 1, 2, 2, 
1, 4, 1, 3, 1, 1, 1, 1, 1, 1, 
1, 3, 1, 3, 1, 4, 1, 1, 2, 1, 
2, 2, 2, 1, 2, 2, 2, 1, 1, 1, 
1, 2, 1, 3, 1, 1, 3, 2, 2, 3, 
1, 1, 2, 2, 1, 2, 3, 1, 2, 1, 
2, 2, 3, 2, 3, 3, 1, 1, 1, 1, 
1, 2, 3, 1, 4, 1, 2, 1, 1, 3, 
3, 1, 2, 3, 1, 2, 1, 1, 1, 2, 
3, 1, 2, 1, 2, 1, 2, 2, 2, 2, 
1, 5, 1, 1, 2, 1, 3, 1, 2, 1, 
2, 2, 1, 5, 2, 1, 1, 2, 1, 4, 
1, 3, 2, 1, 1, 1, 1, 2, 1, 2, 
1, 2, 3, 3, 2, 2, 3, 2, 1, 2, 
1, 1, 1, 1, 3, 2, 2, 1, 1, 1, 
1, 2, 2, 1, 2, 2, 1, 2, 3, 1, 
1, 2, 1, 3, 2, 3, 1, 2, 1, 1, 
4, 1, 2, 1, 1, 1, 1, 1, 2, 1, 
1, 3, 2, 2, 1, 1, 1, 1, 2, 2, 
2, 1, 1, 2, 1, 1, 1, 2, 3, 1, 
4, 3, 4, 1, 3, 2, 1, 1, 3, 2, 
1, 1, 2, 1, 2, 2, 3, 1, 2, 1, 
4, 2, 3, 1, 2, 1, 3, 1, 1, 4, 
1, 1, 1, 1, 1, 2, 2, 1, 2, 2, 
3, 1, 2, 2, 2, 1, 2, 2, 2, 2, 
4, 1, 2, 1, 2, 2, 3, 2, 1, 4, 
1, 2, 2, 3, 1, 2, 2, 2, 1, 2, 
1, 2, 2, 2, 1, 1, 2, 2, 1, 1, 
2, 2, 1, 3, 2, 1, 1, 2, 2, 1, 
1, 2, 1, 3, 2, 1, 2, 2, 2, 1, 
3, 2, 1, 1, 3, 2, 2, 3, 1, 1, 
1, 1, 1, 1, 2, 2, 2, 1, 2, 1, 
2, 1, 1, 1, 2, 3, 3, 1, 1, 3, 
1, 2, 2, 1, 1, 1, 2, 1, 1, 1, 
1, 1, 1, 1, 1, 2, 1, 3, 2, 2, 
1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 
3, 2, 1, 1, 1, 2, 2, 2, 2, 1, 







unnorm most common pos

Noun 0.35, Verb 0.27, Adjective 0.23, 
Verb 0.37, Noun 0.36, Adjective 0.12, 
Noun 0.47, Verb 0.22, Adjective 0.15, 
Adjective 0.37, Noun 0.22, Verb 0.2, 
Noun 0.42, Adjective 0.19, Verb 0.19, 
Noun 0.49, Adjective 0.22, Verb 0.2, 
Noun 0.35, Verb 0.32, Adverb 0.13, 
Noun 0.66, Adjective 0.16, Verb 0.11, 
Adjective 0.42, Noun 0.26, Verb 0.23, 
Noun 0.5, Adjective 0.2, Verb 0.19, 
Noun 0.31, Adverb 0.3, Verb 0.19, 
Noun 0.53, Verb 0.22, Adjective 0.11, 
Adjective 0.36, Verb 0.27, Noun 0.21, 
Noun 0.55, Verb 0.16, Adjective 0.15, 
Adjective 0.37, Noun 0.29, Verb 0.12, 
Noun 0.4, Verb 0.3, Adjective 0.16, 
Noun 0.52, Adjective 0.23, Verb 0.15, 
Noun 0.47, Verb 0.18, Preposition 0.13, 
Noun 0.42, Preposition 0.16, Pronoun 0.16, 
Noun 0.54, Verb 0.21, Adjective 0.09, 
Noun 0.55, Verb 0.22, Adjective 0.08, 
Noun 0.43, Verb 0.31, Adjective 0.15, 
Noun 0.28, Adjective 0.25, Determiner 0.22, 
Noun 0.61, Adjective 0.21, Verb 0.12, 
Noun 0.48, Verb 0.28, Adjective 0.15, 
Noun 0.54, Verb 0.26, Adjective 0.08, 
Noun 0.44, Adjective 0.25, Verb 0.2, 
Adverb 0.35, Noun 0.32, Adjective 0.15, 
Noun 0.41, Adjective 0.31, Verb 0.15, 
Noun 0.49, Adjective 0.15, Verb 0.15, 
Noun 0.43, Verb 0.21, Determiner 0.11, 
Noun 0.38, Adjective 0.33, Verb 0.11, 
Noun 0.48, Verb 0.26, Adjective 0.15, 
Noun 0.38, Verb 0.29, Adverb 0.25, 
Noun 0.44, Verb 0.23, Adjective 0.13, 
Noun 0.34, Adjective 0.26, Verb 0.19, 
Noun 0.43, Verb 0.27, Adjective 0.17, 
Noun 0.39, Verb 0.19, Preposition 0.15, 
Adjective 0.44, Noun 0.23, Adverb 0.13, 
Noun 0.44, Verb 0.33, Adjective 0.12, 
Noun 0.59, Verb 0.16, Adjective 0.15, 
Noun 0.42, Verb 0.22, Adjective 0.2, 
Adjective 0.34, Noun 0.27, Verb 0.17, 
Noun 0.33, Verb 0.3, Adjective 0.19, 
Verb 0.5, Noun 0.26, Adverb 0.15, 
Noun 0.43, Verb 0.27, Adjective 0.18, 
Noun 0.58, Verb 0.21, Adjective 0.09, 
Verb 0.41, Noun 0.28, Adjective 0.18, 
Noun 0.62, Adjective 0.18, Preposition 0.07, 
Noun 0.53, Verb 0.27, Preposition 0.11, 



most common pos

Adjective 0.23, Verb 0.27, Noun 0.35, 
Verb 0.37, Preposition 0.1, Noun 0.36, 
Noun 0.47, Verb 0.22, Adjective 0.15, 
Adjective 0.37, Determiner 0.08, Adverb 0.11, 
Adverb 0.13, Noun 0.42, Adjective 0.19, 
Noun 0.49, Adjective 0.22, Verb 0.2, 
Adverb 0.13, Cardinal 0.04, Verb 0.32, 
Noun 0.66, Adjective 0.16, Pronoun 0.02, 
Adjective 0.42, Verb 0.23, Pronoun 0.04, 
Noun 0.5, Adjective 0.2, Verb 0.19, 
Adverb 0.3, Noun 0.31, Verb 0.19, 
Noun 0.53, Connector 0.04, Verb 0.22, 
Adjective 0.36, Determiner 0.07, Verb 0.27, 
Noun 0.55, Connector 0.07, Adjective 0.15, 
Determiner 0.11, Adjective 0.37, Preposition 0.06, 
Noun 0.4, Verb 0.3, Adjective 0.16, 
Noun 0.52, Adjective 0.23, Conjunction 0.02, 
Preposition 0.13, Noun 0.47, Wh-adverb 0.02, 
Pronoun 0.16, Preposition 0.16, Noun 0.42, 
Noun 0.54, Connector 0.06, Verb 0.21, 
Noun 0.55, Verb 0.22, Pronoun 0.04, 
Noun 0.43, Verb 0.31, Adjective 0.15, 
Determiner 0.22, Pronoun 0.16, Adjective 0.25, 
Noun 0.61, Adjective 0.21, Verb 0.12, 
Noun 0.48, Verb 0.28, Adjective 0.15, 
Noun 0.54, Verb 0.26, Preposition 0.06, 
Noun 0.44, Adjective 0.25, Preposition 0.06, 
Adverb 0.35, Noun 0.32, Adjective 0.15, 
Adjective 0.31, Noun 0.41, Preposition 0.08, 
Noun 0.49, Preposition 0.09, Adjective 0.15, 
Determiner 0.11, Pronoun 0.07, Noun 0.43, 
Adjective 0.33, Noun 0.38, Adverb 0.11, 
Noun 0.48, Verb 0.26, Adjective 0.15, 
Adverb 0.25, Noun 0.38, Verb 0.29, 
Preposition 0.1, Noun 0.44, Pronoun 0.05, 
Determiner 0.1, Adjective 0.26, Noun 0.34, 
Noun 0.43, Verb 0.27, Adjective 0.17, 
Preposition 0.15, Pronoun 0.06, Noun 0.39, 
Adjective 0.44, Adverb 0.13, Pronoun 0.05, 
Noun 0.44, Verb 0.33, Adjective 0.12, 
Noun 0.59, Adjective 0.15, Verb 0.16, 
Noun 0.42, Adjective 0.2, Pronoun 0.05, 
Adjective 0.34, Adverb 0.12, Determiner 0.06, 
Verb 0.3, Adverb 0.1, Adjective 0.19, 
Verb 0.5, Adverb 0.15, Noun 0.26, 
Noun 0.43, Verb 0.27, Adjective 0.18, 
Noun 0.58, Adverb 0.09, Verb 0.21, 
Verb 0.41, Pronoun 0.05, Adjective 0.18, 
Noun 0.62, Preposition 0.07, Pronoun 0.05, 
Noun 0.53, Preposition 0.11, Verb 0.27, 







unorm stress patterns

[1 ], [1 0 ], 
[1 ], [0 ], 
[1 ], [1 0 ], 
[0 ], [1 ], 
[1 ], [1 0 ], 
[1 ], [0 1 ], 
[1 ], [1 0 ], 
[1 0 ], [1 ], 
[1 ], [1 0 ], 
[1 ], [1 0 ], 
[1 ], [0 ], 
[1 0 ], [1 ], 
[1 ], [1 0 ], 
[1 ], [0 ], 
[0 ], [1 ], 
[1 ], [1 0 ], 
[1 0 ], [1 ], 
[1 ], [0 ], 
[0 ], [1 ], 
[0 ], [1 0 ], 
[1 ], [1 0 ], 
[1 ], [1 0 ], 
[1 ], [0 ], 
[0 ], [1 ], 
[1 ], [1 0 ], 
[0 ], [1 ], 
[1 ], [1 0 ], 
[1 0 ], [1 ], 
[0 ], [1 ], 
[1 ], [1 0 ], 
[1 ], [1 0 ], 
[1 ], [1 0 ], 
[1 ], [1 0 ], 
[1 ], [1 0 ], 
[1 ], [1 0 ], 
[0 ], [1 ], 
[1 ], [1 0 ], 
[1 ], [0 1 ], 
[0 ], [1 0 ], 
[1 ], [1 0 ], 
[1 ], [0 ], 
[1 ], [1 0 ], 
[1 0 ], [1 ], 
[1 ], [1 0 ], 
[1 ], [1 0 ], 
[1 ], [1 0 ], 
[1 ], [1 0 ], 
[1 ], [1 0 ], 
[1 ], [1 0 ], 
[1 ], [1 0 ], 


stress patterns

[1 0 1 ], [0 1 ], 
[1 0 1 0 1 0 ], [0 ], 
[0 1 0 1 0 ], [0 1 0 1 ], 
[1 0 1 0 ], [0 ], 
[0 1 0 1 0 ], [0 1 0 1 ], 
[0 1 ], [1 0 1 0 ], 
[0 1 ], [0 1 0 ], 
[1 0 1 ], [1 0 ], 
[1 0 ], [0 1 ], 
[0 1 0 1 ], [0 1 0 ], 
[1 ], [0 1 0 ], 
[0 1 0 ], [1 0 1 ], 
[1 0 1 0 ], [1 ], 
[0 ], [1 ], 
[0 ], [0 1 0 1 ], 
[1 ], [0 ], 
[1 0 1 0 ], [1 0 ], 
[1 0 1 0 ], [0 1 0 1 0 ], 
[1 0 1 0 ], [0 ], 
[1 0 1 ], [0 ], 
[0 1 0 1 ], [1 0 1 ], 
[0 1 0 1 ], [0 1 0 ], 
[0 ], [1 ], 
[1 0 1 0 1 ], [0 ], 
[1 0 1 0 1 ], [0 1 0 1 0 ], 
[1 0 1 0 ], [0 ], 
[1 0 1 0 1 0 ], [1 0 ], 
[1 0 ], [1 0 1 ], 
[1 0 1 ], [0 1 ], 
[1 0 1 ], [1 0 1 0 ], 
[1 0 1 0 ], [1 0 ], 
[0 1 0 1 0 ], [1 0 ], 
[0 1 0 1 ], [1 0 1 ], 
[1 0 1 0 ], [0 1 0 1 ], 
[0 1 0 1 ], [0 1 ], 
[1 0 1 0 1 ], [0 1 0 1 ], 
[1 0 1 0 1 ], [1 0 1 0 ], 
[0 1 ], [0 1 0 ], 
[0 1 0 1 ], [0 ], 
[0 1 0 1 ], [1 0 1 0 ], 
[0 1 0 1 0 ], [1 0 1 0 ], 
[1 0 1 ], [0 1 0 ], 
[0 1 ], [1 0 ], 
[0 1 0 ], [1 ], 
[1 ], [1 0 ], 
[1 0 1 ], [0 1 0 1 ], 
[1 0 1 0 ], [0 1 0 ], 
[0 1 0 1 ], [1 ], 
[0 1 0 1 0 ], [1 ], 
[1 0 1 0 1 0 ], [0 1 ], 
